Product Category,Sales ($),Customer Age,Customer Gender,Customer Country,Customer Name
Home & Kitchen,1606.37,23,Female,Malta,Jeremy Kelly
Toys,158.36,33,Female,Somalia,Alexandra Christian
Books,1973.91,46,Female,Switzerland,Tara Smith
Toys,1546.77,20,Female,Saint Helena,Tara Holmes
Toys,405.44,37,Female,Qatar,Laura Johnson
Clothing,20.99,53,Male,Paraguay,Jimmy Gregory
Books,1632.77,36,Non-binary,Austria,Mary Cordova
Books,1416.65,43,Female,Turkey,Matthew Gomez
Books,1460.72,20,Non-binary,Maldives,Vickie Taylor
Toys,1544.83,36,Non-binary,Korea,Marisa Santos
Home & Kitchen,157.35,37,Female,Cote d'Ivoire,Donald Smith
Books,723.35,49,Male,Tanzania,Gregory Glass PhD
Beauty,240.58,24,Female,Norfolk Island,Laura Joyce
Toys,1727.58,69,Male,Slovenia,Patricia Soto
Clothing,1250.36,58,Non-binary,Marshall Islands,Christina Smith
Home & Kitchen,668.49,50,Male,Latvia,Thomas Smith
Beauty,136.48,57,Male,Kazakhstan,Michael Nguyen
Beauty,628.85,56,Male,Bahrain,Javier Gardner
Clothing,657.11,35,Non-binary,Saint Kitts and Nevis,Heidi Powell
Home & Kitchen,1461.92,57,Non-binary,Syrian Arab Republic,Matthew Vincent
Toys,1278.74,18,Male,Singapore,Tracy Bridges
Electronics,1775.55,28,Male,Spain,Mr. Jason Walker
Home & Kitchen,949.71,45,Female,Malta,Mr. Darrell Martin
Clothing,247.99,74,Male,Bahrain,David Johnson
Beauty,1429.36,42,Female,Northern Mariana Islands,Brett Saunders
Toys,1523.96,67,Male,Singapore,Ashley Johnston
Home & Kitchen,1126.94,40,Female,French Guiana,Jesse Carpenter
Electronics,1544.22,48,Non-binary,Somalia,Allen Harrington
Electronics,992.65,47,Male,Suriname,Michael James
Books,1050.24,59,Male,Slovakia (Slovak Republic),Tonya Wright
Books,860.81,52,Male,Turks and Caicos Islands,Angela Jenkins
Clothing,60.58,24,Male,Honduras,Debbie Williams
Home & Kitchen,224.7,33,Female,Namibia,Melissa Thomas
Home & Kitchen,72.54,43,Male,Nigeria,Morgan Malone
Beauty,1276.46,65,Non-binary,Norway,Pamela Brown
Beauty,635.57,74,Non-binary,Monaco,Kelsey Walsh
Beauty,1022.06,69,Male,Myanmar,Jeremy Saunders
Books,1816.06,66,Non-binary,Mayotte,Bradley Scott
Home & Kitchen,506.09,19,Male,Falkland Islands (Malvinas),Lindsay Hart
Home & Kitchen,826.66,18,Male,Isle of Man,Jennifer Wood
Electronics,1513.55,65,Non-binary,Grenada,Julia Moreno
Books,465.31,29,Male,Samoa,Carolyn Randolph
Toys,163.19,22,Non-binary,Tuvalu,Sandra Freeman
Books,586.61,54,Female,Azerbaijan,Christopher Bell
Toys,330.83,49,Male,Italy,Samantha Dalton
Electronics,1860.1,72,Female,Peru,Adam Stephens PhD
Clothing,1618.16,26,Non-binary,Kenya,Kathleen Snow
Home & Kitchen,1270.47,58,Female,Costa Rica,Samantha Baker
Electronics,1744.21,52,Female,Mauritius,Katelyn Khan
Home & Kitchen,1609.31,36,Non-binary,Guinea-Bissau,Nicholas Lucero
Beauty,381.27,65,Female,Haiti,Morgan Gibson
Clothing,1786.19,33,Female,Cambodia,Anna Ortega
Clothing,1083.29,20,Non-binary,Bolivia,Alexis White
Electronics,1616.81,37,Female,Poland,Terry Hines
Clothing,1793.22,41,Non-binary,Turks and Caicos Islands,Stacy Bowman
Toys,642.83,71,Female,Myanmar,Margaret Garcia
Clothing,229.0,73,Non-binary,Vanuatu,Mark Baker
Home & Kitchen,463.59,50,Non-binary,Switzerland,Anthony Dunn
Home & Kitchen,859.94,41,Female,Faroe Islands,Sharon Burns
Home & Kitchen,1637.85,69,Female,Botswana,Sarah Walker
Home & Kitchen,1722.85,28,Female,Pakistan,Gregory Orozco
Toys,23.83,66,Male,Brunei Darussalam,Monica Dixon
Books,1026.39,25,Male,Brunei Darussalam,Tammy Roberts
Beauty,840.65,53,Male,New Caledonia,Erin Valdez
Electronics,451.99,55,Non-binary,United States Virgin Islands,James Mullen
Home & Kitchen,248.53,57,Female,Monaco,David Trujillo
Clothing,681.85,37,Non-binary,Croatia,Larry Allen
Home & Kitchen,1886.39,52,Male,Jamaica,Shannon Reyes
Clothing,653.17,65,Female,Cook Islands,Joan Zhang
Beauty,1042.39,42,Non-binary,Kiribati,Paula Park
Beauty,1409.01,52,Female,Luxembourg,James Pena
Beauty,733.62,42,Non-binary,Israel,Stacy Parker
Clothing,1943.85,46,Female,India,Michael Johnson
Home & Kitchen,1925.27,35,Male,South Georgia and the South Sandwich Islands,Michael Williams
Beauty,511.05,63,Male,Switzerland,Carolyn Hood
Toys,999.52,35,Female,Uruguay,Mary Marshall
Clothing,608.75,19,Non-binary,Guadeloupe,Catherine Gray
Clothing,576.83,71,Male,Malaysia,Amanda Carson
Home & Kitchen,83.41,52,Male,Gambia,Tiffany Moore
Clothing,1223.03,33,Male,United Arab Emirates,James Yoder
Clothing,1010.33,58,Female,Slovakia (Slovak Republic),Rhonda Burke
Beauty,112.44,53,Female,Djibouti,Yvette Davis
Home & Kitchen,564.51,50,Non-binary,Libyan Arab Jamahiriya,Erica Merritt
Beauty,1817.45,21,Non-binary,Samoa,Eric Owens
Beauty,486.73,50,Non-binary,Tanzania,Melinda Wong
Home & Kitchen,298.34,31,Female,Holy See (Vatican City State),Jesus Martinez
Electronics,984.01,38,Female,Malta,Patty Wilson
Beauty,1971.44,65,Non-binary,Ecuador,Shannon Valenzuela
Toys,491.69,37,Non-binary,Turks and Caicos Islands,Roger Cunningham
Toys,1347.55,73,Female,El Salvador,Lindsay Acosta
Clothing,1525.62,25,Non-binary,Armenia,Wayne Bishop
Toys,482.9,24,Male,San Marino,Terri Glass
Clothing,1459.15,20,Female,Bouvet Island (Bouvetoya),Jackson Phillips
Electronics,741.89,34,Non-binary,Ireland,Jennifer Castillo
Home & Kitchen,1268.29,50,Female,Denmark,Derek Stephens
Home & Kitchen,1270.72,65,Male,Namibia,Kimberly Reyes
Home & Kitchen,1076.19,29,Female,Saint Vincent and the Grenadines,Carmen Hayes
Toys,189.68,68,Female,Togo,Shawn Dickerson
Electronics,1672.25,39,Female,Thailand,Veronica Mccoy
Toys,648.35,72,Female,United Kingdom,Thomas Hudson
